source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,ra,ra_error
5853498713190525696,768.0665391873573,0.049872905,8.984749,3.8045802,217.39232147200883,0.023999203
4472832130942575872,546.975939730948,0.040116355,8.1939745,2.8336968,269.44850252543836,0.026238997
3864972938605115520,415.17941567802137,0.06837086,11.038391,4.1848364,164.10319030755974,0.06683743
762815470562110464,392.75294543876464,0.03206665,6.551172,2.2156086,165.83095967577933,0.024125582
2947050466531873024,374.48958852876103,0.2313347,8.524133,-0.27842712,101.28662552099249,0.16483414
5140693571158946048,373.8443122683992,0.50087124,10.817838,3.8285542,24.771674208211856,0.33532688
5140693571158739840,367.71189618147696,0.74180114,10.507542,3.7529564,24.771554293454546,0.427904
4075141768785646848,336.0266016683708,0.031666122,9.126414,2.8340364,282.4587890175222,0.029065154
1926461164913660160,316.48118678226916,0.044448785,10.379277,3.5294142,355.4800152581559,0.03218242
5164707970261890560,310.5772928005821,0.13549915,3.465752,1.1402977,53.22829341517546,0.12144193
6553614253923452800,304.1353692001036,0.01999573,6.5220323,2.0982852,346.5039166796005,0.017067203
3796072592206250624,296.3053079139394,0.030185517,9.601,3.0332584,176.93768799004127,0.027359888
1872046574983497216,286.0053518616485,0.028940246,5.4506445,1.7153406,316.753662752556,0.018972972
1872046609345556480,285.99494829578117,0.05989728,4.766713,1.4625897,316.7484792940004,0.03876041
2154880616774131840,283.8401180184389,0.021992655,7.854393,2.4610577,280.6830708352289,0.021600218
2154880616774131712,283.8377678450057,0.028684631,8.524704,2.625472,280.68308624583415,0.030707553
385334230892516480,280.706821579123,0.020284552,7.218567,2.164384,4.613226257557736,0.0144063365
385334196532776576,280.6947310460246,0.027839076,9.686646,2.8360271,4.625300681217554,0.020594174
703790044252850688,279.2496391012477,0.06372576,12.167455,4.3975945,127.45009240230564,0.055188563
6412595290592307840,274.8431415216296,0.09561499,4.322904,1.2974195,330.8724078795965,0.0686946
2452378776434477184,273.80974511859966,0.17013045,3.3003998,1.0512211,26.009055057160104,0.11874772
4848140361962951552,272.16154083178225,0.031645775,10.995456,3.6653757,54.00339387736301,0.026093582
6412596012146801152,270.6580324694526,0.6895573,18.030664,5.0819645,331.07645259656397,0.50480086
2358524597030794112,269.05730465038937,0.03366602,10.436525,3.1970692,18.13325425370941,0.024294445
3139847906307949696,264.12689775460655,0.04127979,8.576388,2.7577581,111.85462844259372,0.038775597
35227046884571776,260.98844068047276,0.09342672,12.263103,4.5285025,43.26964247679057,0.07458868
4810594479418041856,254.19859326384577,0.016842743,8.063552,2.0266457,77.9599373502188,0.015058955
6583272171336048640,251.9124222107058,0.03516071,5.984104,1.8535872,319.2950181380955,0.025754329
6439125097427143808,249.6651458904217,0.1330301,14.005345,5.11292,281.29804386226,0.07134625
5393446658454453632,247.21558692230735,0.051197793,14.005882,5.153656,162.05388771666577,0.033428483
4330690742322011520,232.13898083974135,0.026823945,8.801877,2.7315807,247.57481416249274,0.024267858
2552928187080872832,231.7799995322092,0.018272836,12.299163,0.5975876,12.296740250462333,0.016580552
3902874650602495232,231.11849780261377,0.5118605,11.235116,3.5342093,188.3144928018531,0.38736263
2306965202564744064,230.09703402875448,0.036182754,7.6824937,2.186049,1.3832841523481234,0.02584283
76868614540049408,223.73208720990553,0.069856286,10.681062,3.188181,30.058987047653364,0.054485697
3902874650601954816,223.47747382423316,0.46645853,11.240162,3.497839,188.3146767758809,0.39643833
